# BEGIN DATA
Process=pp -> e~vj + ev~j
Proc=evj
Sqrt=13 TeV
Timestamp=2017-02-09 19:24:42
# END DATA

# BEGIN HISTO1D evj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.400000e+03 1.600000e+03 1.031360e+00 1.317444e-04 1.317444e-04
1.600000e+03 1.800000e+03 1.033862e+00 1.569245e-04 1.569245e-04
1.800000e+03 2.000000e+03 1.036472e+00 1.897136e-04 1.897136e-04
2.000000e+03 2.200000e+03 1.039226e+00 2.301617e-04 2.301617e-04
2.200000e+03 2.400000e+03 1.042148e+00 2.814897e-04 2.814897e-04
2.400000e+03 2.600000e+03 1.045271e+00 3.497825e-04 3.497825e-04
2.600000e+03 2.800000e+03 1.048656e+00 4.478333e-04 4.478333e-04
2.800000e+03 3.000000e+03 1.052355e+00 5.766717e-04 5.766717e-04
3.000000e+03 1.300000e+04 1.058461e+00 5.566445e-04 5.566445e-04
# END HISTO1D

# BEGIN HISTO1D evj_pTV_d1K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.133990e-01 8.334893e-04 8.334893e-04
4.000000e+01 5.000000e+01 1.112002e-01 5.172816e-04 5.172816e-04
5.000000e+01 6.000000e+01 1.092054e-01 4.059045e-04 4.059045e-04
6.000000e+01 7.000000e+01 1.073960e-01 3.536381e-04 3.536381e-04
7.000000e+01 8.000000e+01 1.057489e-01 3.215379e-04 3.215379e-04
8.000000e+01 9.000000e+01 1.042522e-01 3.002319e-04 3.002319e-04
9.000000e+01 1.000000e+02 1.028849e-01 2.850133e-04 2.850133e-04
1.000000e+02 1.100000e+02 1.016352e-01 2.738456e-04 2.738456e-04
1.100000e+02 1.200000e+02 1.004876e-01 2.654012e-04 2.654012e-04
1.200000e+02 1.300000e+02 9.942685e-02 2.588843e-04 2.588843e-04
1.300000e+02 1.400000e+02 9.844569e-02 2.536553e-04 2.536553e-04
1.400000e+02 1.500000e+02 9.790869e-02 2.496196e-04 2.496196e-04
1.500000e+02 2.000000e+02 1.020734e-01 1.144349e-04 1.144349e-04
2.000000e+02 2.500000e+02 1.168529e-01 1.099361e-04 1.099361e-04
2.500000e+02 3.000000e+02 1.281191e-01 1.088972e-04 1.088972e-04
3.000000e+02 3.500000e+02 1.371630e-01 1.096219e-04 1.096219e-04
3.500000e+02 4.000000e+02 1.446772e-01 1.114377e-04 1.114377e-04
4.000000e+02 4.500000e+02 1.511155e-01 1.139067e-04 1.139067e-04
4.500000e+02 5.000000e+02 1.567337e-01 1.168232e-04 1.168232e-04
5.000000e+02 5.500000e+02 1.617467e-01 1.202703e-04 1.202703e-04
5.500000e+02 6.000000e+02 1.662763e-01 1.241294e-04 1.241294e-04
6.000000e+02 6.500000e+02 1.704212e-01 1.282478e-04 1.282478e-04
6.500000e+02 7.000000e+02 1.742630e-01 1.328041e-04 1.328041e-04
7.000000e+02 7.500000e+02 1.778555e-01 1.376222e-04 1.376222e-04
7.500000e+02 8.000000e+02 1.812451e-01 1.426491e-04 1.426491e-04
8.000000e+02 8.500000e+02 1.844668e-01 1.480012e-04 1.480012e-04
8.500000e+02 9.000000e+02 1.875452e-01 1.538598e-04 1.538598e-04
9.000000e+02 9.500000e+02 1.905150e-01 1.599404e-04 1.599404e-04
9.500000e+02 1.000000e+03 1.933870e-01 1.663692e-04 1.663692e-04
1.000000e+03 1.100000e+03 1.973217e-01 1.255273e-04 1.255273e-04
1.100000e+03 1.200000e+03 2.026888e-01 1.363757e-04 1.363757e-04
1.200000e+03 1.300000e+03 2.078950e-01 1.481385e-04 1.481385e-04
1.300000e+03 1.400000e+03 2.129819e-01 1.614911e-04 1.614911e-04
1.400000e+03 1.600000e+03 2.198056e-01 1.317444e-04 1.317444e-04
1.600000e+03 1.800000e+03 2.297746e-01 1.569245e-04 1.569245e-04
1.800000e+03 2.000000e+03 2.397727e-01 1.897136e-04 1.897136e-04
2.000000e+03 2.200000e+03 2.499548e-01 2.301617e-04 2.301617e-04
2.200000e+03 2.400000e+03 2.604015e-01 2.814897e-04 2.814897e-04
2.400000e+03 2.600000e+03 2.712229e-01 3.497825e-04 3.497825e-04
2.600000e+03 2.800000e+03 2.825443e-01 4.478333e-04 4.478333e-04
2.800000e+03 3.000000e+03 2.944411e-01 5.766717e-04 5.766717e-04
3.000000e+03 1.300000e+04 3.130659e-01 5.566445e-04 5.566445e-04
# END HISTO1D

# BEGIN HISTO1D evj_pTV_d2K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 5.210250e-03 8.095491e-04 8.095491e-04
4.000000e+01 5.000000e+01 6.593355e-03 4.996743e-04 4.996743e-04
5.000000e+01 6.000000e+01 9.878919e-03 3.895892e-04 3.895892e-04
6.000000e+01 7.000000e+01 1.306544e-02 3.376525e-04 3.376525e-04
7.000000e+01 8.000000e+01 1.609552e-02 3.055944e-04 3.055944e-04
8.000000e+01 9.000000e+01 1.972529e-02 2.844366e-04 2.844366e-04
9.000000e+01 1.000000e+02 2.429068e-02 2.696344e-04 2.696344e-04
1.000000e+02 1.100000e+02 2.874905e-02 2.588352e-04 2.588352e-04
1.100000e+02 1.200000e+02 3.306518e-02 2.507395e-04 2.507395e-04
1.200000e+02 1.300000e+02 3.724090e-02 2.445541e-04 2.445541e-04
1.300000e+02 1.400000e+02 4.126189e-02 2.396554e-04 2.396554e-04
1.400000e+02 1.500000e+02 4.513226e-02 2.359903e-04 2.359903e-04
1.500000e+02 2.000000e+02 5.407922e-02 1.086197e-04 1.086197e-04
2.000000e+02 2.500000e+02 7.001428e-02 1.043127e-04 1.043127e-04
2.500000e+02 3.000000e+02 8.322049e-02 1.034775e-04 1.034775e-04
3.000000e+02 3.500000e+02 9.438850e-02 1.043860e-04 1.043860e-04
3.500000e+02 4.000000e+02 1.039929e-01 1.063612e-04 1.063612e-04
4.000000e+02 4.500000e+02 1.123942e-01 1.089686e-04 1.089686e-04
4.500000e+02 5.000000e+02 1.198276e-01 1.120070e-04 1.120070e-04
5.000000e+02 5.500000e+02 1.265005e-01 1.155538e-04 1.155538e-04
5.500000e+02 6.000000e+02 1.325498e-01 1.194999e-04 1.194999e-04
6.000000e+02 6.500000e+02 1.380834e-01 1.236848e-04 1.236848e-04
6.500000e+02 7.000000e+02 1.431882e-01 1.282990e-04 1.282990e-04
7.000000e+02 7.500000e+02 1.479330e-01 1.331583e-04 1.331583e-04
7.500000e+02 8.000000e+02 1.523803e-01 1.382147e-04 1.382147e-04
8.000000e+02 8.500000e+02 1.565771e-01 1.435968e-04 1.435968e-04
8.500000e+02 9.000000e+02 1.605531e-01 1.494610e-04 1.494610e-04
9.000000e+02 9.500000e+02 1.643474e-01 1.555511e-04 1.555511e-04
9.500000e+02 1.000000e+03 1.679763e-01 1.619671e-04 1.619671e-04
1.000000e+03 1.100000e+03 1.728806e-01 1.223804e-04 1.223804e-04
1.100000e+03 1.200000e+03 1.794686e-01 1.331841e-04 1.331841e-04
1.200000e+03 1.300000e+03 1.857317e-01 1.448944e-04 1.448944e-04
1.300000e+03 1.400000e+03 1.917388e-01 1.581648e-04 1.581648e-04
1.400000e+03 1.600000e+03 1.996146e-01 1.291984e-04 1.291984e-04
1.600000e+03 1.800000e+03 2.108507e-01 1.541331e-04 1.541331e-04
1.800000e+03 2.000000e+03 2.218492e-01 1.866000e-04 1.866000e-04
2.000000e+03 2.200000e+03 2.328084e-01 2.266122e-04 2.266122e-04
2.200000e+03 2.400000e+03 2.438722e-01 2.773194e-04 2.773194e-04
2.400000e+03 2.600000e+03 2.551644e-01 3.447896e-04 3.447896e-04
2.600000e+03 2.800000e+03 2.668501e-01 4.418052e-04 4.418052e-04
2.800000e+03 3.000000e+03 2.790143e-01 5.693105e-04 5.693105e-04
3.000000e+03 1.300000e+04 2.978911e-01 5.496491e-04 5.496491e-04
# END HISTO1D

# BEGIN HISTO1D evj_pTV_K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.363978e+00 1.537362e-03 1.537362e-03
4.000000e+01 5.000000e+01 1.384113e+00 9.403833e-04 9.403833e-04
5.000000e+01 6.000000e+01 1.401022e+00 7.416250e-04 7.416250e-04
6.000000e+01 7.000000e+01 1.410486e+00 6.542699e-04 6.542699e-04
7.000000e+01 8.000000e+01 1.424586e+00 6.192948e-04 6.192948e-04
8.000000e+01 9.000000e+01 1.433640e+00 5.996269e-04 5.996269e-04
9.000000e+01 1.000000e+02 1.442744e+00 5.946235e-04 5.946235e-04
1.000000e+02 1.100000e+02 1.453828e+00 5.952869e-04 5.952869e-04
1.100000e+02 1.200000e+02 1.460354e+00 6.032390e-04 6.032390e-04
1.200000e+02 1.300000e+02 1.470563e+00 6.273019e-04 6.273019e-04
1.300000e+02 1.400000e+02 1.474008e+00 6.577852e-04 6.577852e-04
1.400000e+02 1.500000e+02 1.481628e+00 7.002166e-04 7.002166e-04
1.500000e+02 2.000000e+02 1.492009e+00 2.498523e-04 2.498523e-04
2.000000e+02 2.500000e+02 1.505631e+00 2.743437e-04 2.743437e-04
2.500000e+02 3.000000e+02 1.513143e+00 3.210593e-04 3.210593e-04
3.000000e+02 3.500000e+02 1.518528e+00 3.755844e-04 3.755844e-04
3.500000e+02 4.000000e+02 1.520859e+00 4.381534e-04 4.381534e-04
4.000000e+02 4.500000e+02 1.525036e+00 4.958988e-04 4.958988e-04
4.500000e+02 5.000000e+02 1.523666e+00 5.613048e-04 5.613048e-04
5.000000e+02 5.500000e+02 1.528763e+00 6.681648e-04 6.681648e-04
5.500000e+02 6.000000e+02 1.528107e+00 7.913202e-04 7.913202e-04
6.000000e+02 6.500000e+02 1.528198e+00 8.308135e-04 8.308135e-04
6.500000e+02 7.000000e+02 1.532893e+00 9.511310e-04 9.511310e-04
7.000000e+02 7.500000e+02 1.531675e+00 1.078026e-03 1.078026e-03
7.500000e+02 8.000000e+02 1.537027e+00 1.108630e-03 1.108630e-03
8.000000e+02 8.500000e+02 1.535113e+00 1.236359e-03 1.236359e-03
8.500000e+02 9.000000e+02 1.536048e+00 1.389355e-03 1.389355e-03
9.000000e+02 9.500000e+02 1.544761e+00 1.482993e-03 1.482993e-03
9.500000e+02 1.000000e+03 1.545263e+00 1.682511e-03 1.682511e-03
1.000000e+03 1.100000e+03 1.547559e+00 1.007157e-03 1.007157e-03
1.100000e+03 1.200000e+03 1.556958e+00 1.208683e-03 1.208683e-03
1.200000e+03 1.300000e+03 1.565571e+00 1.402106e-03 1.402106e-03
1.300000e+03 1.400000e+03 1.569087e+00 1.578062e-03 1.578062e-03
1.400000e+03 1.600000e+03 1.586208e+00 1.098354e-03 1.098354e-03
1.600000e+03 1.800000e+03 1.607135e+00 1.477536e-03 1.477536e-03
1.800000e+03 2.000000e+03 1.635059e+00 2.050790e-03 2.050790e-03
2.000000e+03 2.200000e+03 1.672932e+00 2.736343e-03 2.736343e-03
2.200000e+03 2.400000e+03 1.712275e+00 3.439353e-03 3.439353e-03
2.400000e+03 2.600000e+03 1.744429e+00 4.480020e-03 4.480020e-03
2.600000e+03 2.800000e+03 1.791170e+00 6.328489e-03 6.328489e-03
2.800000e+03 3.000000e+03 1.832165e+00 7.897346e-03 7.897346e-03
3.000000e+03 1.300000e+04 1.935313e+00 7.164230e-03 7.164230e-03
# END HISTO1D

# BEGIN HISTO1D evj_pTV_d1K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 7.888275e-02 1.537362e-03 1.537362e-03
4.000000e+01 5.000000e+01 8.168379e-02 9.403833e-04 9.403833e-04
5.000000e+01 6.000000e+01 8.373164e-02 7.416250e-04 7.416250e-04
6.000000e+01 7.000000e+01 8.396774e-02 6.542699e-04 6.542699e-04
7.000000e+01 8.000000e+01 8.574317e-02 6.192948e-04 6.192948e-04
8.000000e+01 9.000000e+01 8.648674e-02 5.996269e-04 5.996269e-04
9.000000e+01 1.000000e+02 8.724407e-02 5.946235e-04 5.946235e-04
1.000000e+02 1.100000e+02 8.884245e-02 5.952869e-04 5.952869e-04
1.100000e+02 1.200000e+02 8.996435e-02 6.032390e-04 6.032390e-04
1.200000e+02 1.300000e+02 9.247092e-02 6.273019e-04 6.273019e-04
1.300000e+02 1.400000e+02 9.293092e-02 6.577852e-04 6.577852e-04
1.400000e+02 1.500000e+02 9.555865e-02 7.002166e-04 7.002166e-04
1.500000e+02 2.000000e+02 1.008709e-01 2.498523e-04 2.498523e-04
2.000000e+02 2.500000e+02 1.088620e-01 2.743437e-04 2.743437e-04
2.500000e+02 3.000000e+02 1.146431e-01 3.210593e-04 3.210593e-04
3.000000e+02 3.500000e+02 1.190947e-01 3.755844e-04 3.755844e-04
3.500000e+02 4.000000e+02 1.223572e-01 4.381534e-04 4.381534e-04
4.000000e+02 4.500000e+02 1.255999e-01 4.958988e-04 4.958988e-04
4.500000e+02 5.000000e+02 1.273841e-01 5.613048e-04 5.613048e-04
5.000000e+02 5.500000e+02 1.303949e-01 6.681648e-04 6.681648e-04
5.500000e+02 6.000000e+02 1.318448e-01 7.913202e-04 7.913202e-04
6.000000e+02 6.500000e+02 1.332377e-01 8.308135e-04 8.308135e-04
6.500000e+02 7.000000e+02 1.357746e-01 9.511310e-04 9.511310e-04
7.000000e+02 7.500000e+02 1.369124e-01 1.078026e-03 1.078026e-03
7.500000e+02 8.000000e+02 1.397923e-01 1.108630e-03 1.108630e-03
8.000000e+02 8.500000e+02 1.402381e-01 1.236359e-03 1.236359e-03
8.500000e+02 9.000000e+02 1.416377e-01 1.389355e-03 1.389355e-03
9.000000e+02 9.500000e+02 1.450364e-01 1.482993e-03 1.482993e-03
9.500000e+02 1.000000e+03 1.463262e-01 1.682511e-03 1.682511e-03
1.000000e+03 1.100000e+03 1.484470e-01 1.007157e-03 1.007157e-03
1.100000e+03 1.200000e+03 1.528631e-01 1.208683e-03 1.208683e-03
1.200000e+03 1.300000e+03 1.573101e-01 1.402106e-03 1.402106e-03
1.300000e+03 1.400000e+03 1.603367e-01 1.578062e-03 1.578062e-03
1.400000e+03 1.600000e+03 1.679426e-01 1.098354e-03 1.098354e-03
1.600000e+03 1.800000e+03 1.779865e-01 1.477536e-03 1.477536e-03
1.800000e+03 2.000000e+03 1.903432e-01 2.050790e-03 2.050790e-03
2.000000e+03 2.200000e+03 2.063978e-01 2.736343e-03 2.736343e-03
2.200000e+03 2.400000e+03 2.231063e-01 3.439353e-03 3.439353e-03
2.400000e+03 2.600000e+03 2.384677e-01 4.480020e-03 4.480020e-03
2.600000e+03 2.800000e+03 2.592611e-01 6.328489e-03 6.328489e-03
2.800000e+03 3.000000e+03 2.778266e-01 7.897346e-03 7.897346e-03
3.000000e+03 1.300000e+04 3.227701e-01 7.164230e-03 7.164230e-03
# END HISTO1D

# BEGIN HISTO1D evj_pTV_d2K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.936724e-02 1.437838e-03 1.437838e-03
4.000000e+01 5.000000e+01 2.289696e-02 8.570174e-04 8.570174e-04
5.000000e+01 6.000000e+01 2.679070e-02 6.741859e-04 6.741859e-04
6.000000e+01 7.000000e+01 3.066183e-02 5.903526e-04 5.903526e-04
7.000000e+01 8.000000e+01 3.474261e-02 5.562098e-04 5.562098e-04
8.000000e+01 9.000000e+01 3.870929e-02 5.372704e-04 5.372704e-04
9.000000e+01 1.000000e+02 4.257449e-02 5.319604e-04 5.319604e-04
1.000000e+02 1.100000e+02 4.642160e-02 5.339441e-04 5.339441e-04
1.100000e+02 1.200000e+02 4.983691e-02 5.432960e-04 5.432960e-04
1.200000e+02 1.300000e+02 5.360181e-02 5.649742e-04 5.649742e-04
1.300000e+02 1.400000e+02 5.645420e-02 5.917172e-04 5.917172e-04
1.400000e+02 1.500000e+02 5.982386e-02 6.267436e-04 6.267436e-04
1.500000e+02 2.000000e+02 6.673040e-02 2.266494e-04 2.266494e-04
2.000000e+02 2.500000e+02 7.823116e-02 2.504454e-04 2.504454e-04
2.500000e+02 3.000000e+02 8.707063e-02 2.943459e-04 2.943459e-04
3.000000e+02 3.500000e+02 9.412241e-02 3.458539e-04 3.458539e-04
3.500000e+02 4.000000e+02 9.964995e-02 4.054521e-04 4.054521e-04
4.000000e+02 4.500000e+02 1.046511e-01 4.611871e-04 4.611871e-04
4.500000e+02 5.000000e+02 1.081936e-01 5.252901e-04 5.252901e-04
5.000000e+02 5.500000e+02 1.123343e-01 6.266560e-04 6.266560e-04
5.500000e+02 6.000000e+02 1.150732e-01 7.447894e-04 7.447894e-04
6.000000e+02 6.500000e+02 1.175659e-01 7.845109e-04 7.845109e-04
6.500000e+02 7.000000e+02 1.208095e-01 9.012940e-04 9.012940e-04
7.000000e+02 7.500000e+02 1.228147e-01 1.022603e-03 1.022603e-03
7.500000e+02 8.000000e+02 1.261567e-01 1.054229e-03 1.054229e-03
8.000000e+02 8.500000e+02 1.274043e-01 1.178248e-03 1.178248e-03
8.500000e+02 9.000000e+02 1.293615e-01 1.327233e-03 1.327233e-03
9.000000e+02 9.500000e+02 1.329710e-01 1.419099e-03 1.419099e-03
9.500000e+02 1.000000e+03 1.347634e-01 1.616474e-03 1.616474e-03
1.000000e+03 1.100000e+03 1.374159e-01 9.725227e-04 9.725227e-04
1.100000e+03 1.200000e+03 1.423753e-01 1.164536e-03 1.164536e-03
1.200000e+03 1.300000e+03 1.472655e-01 1.352483e-03 1.352483e-03
1.300000e+03 1.400000e+03 1.508082e-01 1.527161e-03 1.527161e-03
1.400000e+03 1.600000e+03 1.586813e-01 1.068103e-03 1.068103e-03
1.600000e+03 1.800000e+03 1.691620e-01 1.438223e-03 1.438223e-03
1.800000e+03 2.000000e+03 1.817082e-01 2.000122e-03 2.000122e-03
2.000000e+03 2.200000e+03 1.976415e-01 2.668998e-03 2.668998e-03
2.200000e+03 2.400000e+03 2.142332e-01 3.357827e-03 3.357827e-03
2.400000e+03 2.600000e+03 2.295733e-01 4.380431e-03 4.380431e-03
2.600000e+03 2.800000e+03 2.500698e-01 6.191634e-03 6.191634e-03
2.800000e+03 3.000000e+03 2.685142e-01 7.732814e-03 7.732814e-03
3.000000e+03 1.300000e+04 3.125338e-01 7.034640e-03 7.034640e-03
# END HISTO1D

# BEGIN HISTO1D evj_pTV_d3K_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.798604e-01 2.198112e-03 2.198112e-03
4.000000e+01 5.000000e+01 -1.406043e-01 1.393609e-03 1.393609e-03
5.000000e+01 6.000000e+01 -1.065321e-01 1.091042e-03 1.091042e-03
6.000000e+01 7.000000e+01 -8.505341e-02 9.549469e-04 9.549469e-04
7.000000e+01 8.000000e+01 -6.732953e-02 8.914732e-04 8.914732e-04
8.000000e+01 9.000000e+01 -5.646637e-02 8.531443e-04 8.531443e-04
9.000000e+01 1.000000e+02 -4.562072e-02 8.339436e-04 8.339436e-04
1.000000e+02 1.100000e+02 -3.465798e-02 8.248059e-04 8.248059e-04
1.100000e+02 1.200000e+02 -2.786906e-02 8.234046e-04 8.234046e-04
1.200000e+02 1.300000e+02 -1.950016e-02 8.390114e-04 8.390114e-04
1.300000e+02 1.400000e+02 -1.631831e-02 8.621714e-04 8.621714e-04
1.400000e+02 1.500000e+02 -9.098410e-03 8.983108e-04 8.983108e-04
1.500000e+02 2.000000e+02 7.350189e-04 3.504925e-04 3.504925e-04
2.000000e+02 2.500000e+02 1.536972e-02 3.668737e-04 3.668737e-04
2.500000e+02 3.000000e+02 2.507535e-02 4.086103e-04 4.086103e-04
3.000000e+02 3.500000e+02 2.022685e-02 4.604868e-04 4.604868e-04
3.500000e+02 4.000000e+02 1.176553e-02 5.209075e-04 5.209075e-04
4.000000e+02 4.500000e+02 7.275778e-03 5.807694e-04 5.807694e-04
4.500000e+02 5.000000e+02 2.165081e-03 6.479305e-04 6.479305e-04
5.000000e+02 5.500000e+02 2.137224e-03 7.577701e-04 7.577701e-04
